"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0R600","2019-07-12 00:00:00","766.000","0.000","0.200","23.600","0.840","928.500","-99.000","127.500","-99.000","-99.000","-99.000","25.900","","21.400",""
"C0C650","2019-07-12 00:00:00","208.000","211.000","0.400","26.300","0.860","986.900","-99.000","0.000","-99.000","-99.000","-99.000","32.500","","25.300",""
"C0F9I0","2019-07-12 00:00:00","194.000","198.000","2.300","26.900","0.860","988.800","-99.000","6.000","-99.000","-99.000","-99.000","30.800","","25.300",""
"C0T820","2019-07-12 00:00:00","550.000","0.000","0.100","22.800","0.910","954.100","-99.000","0.000","-99.000","-99.000","-99.000","33.900","","21.400",""
"C0S890","2019-07-12 00:00:00","238.000","0.000","0.000","26.000","0.910","986.900","-99.000","0.000","-99.000","-99.000","-99.000","32.600","","25.100",""
"C0G840","2019-07-12 00:00:00","32.000","0.000","0.200","27.000","0.930","1005.400","-99.000","6.500","-99.000","-99.000","-99.000","31.700","","25.700",""
"C0V710","2019-07-12 00:00:00","34.000","115.000","1.000","25.800","1.000","1008.200","-99.000","60.500","-99.000","-99.000","-99.000","29.700","","24.500",""
"C0X140","2019-07-12 00:00:00","17.000","150.000","0.800","27.100","0.870","1009.400","-99.000","16.500","-99.000","-99.000","-99.000","32.100","","25.600",""
"C0C680","2019-07-12 00:00:00","228.000","0.000","0.000","26.400","0.870","983.200","-99.000","0.000","-99.000","-99.000","-99.000","32.900","","26.400",""
"C0D360","2019-07-12 00:00:00","523.000","0.000","0.000","24.100","0.920","951.800","-99.000","0.500","-99.000","-99.000","-99.000","29.500","","23.300",""
"C0C710","2019-07-12 00:00:00","143.000","123.000","0.500","25.100","0.940","994.200","-99.000","0.000","-99.000","-99.000","-99.000","32.000","","24.600",""
"C0Z190","2019-07-12 00:00:00","62.000","263.000","0.400","26.200","0.990","1003.600","-99.000","0.500","-99.000","-99.000","-99.000","32.300","","26.200",""
"C0Z020","2019-07-12 00:00:00","211.000","24.000","0.400","26.500","0.920","986.900","-99.000","0.000","-99.000","-99.000","-99.000","33.500","","25.000",""
"C0I380","2019-07-12 00:00:00","258.000","101.000","2.100","25.700","0.970","981.700","-99.000","0.500","-99.000","-99.000","-99.000","32.300","","25.000",""
"C0D560","2019-07-12 00:00:00","147.000","160.000","0.500","27.200","0.820","994.900","-99.000","0.000","-99.000","-99.000","-99.000","34.700","","26.300",""
"C0Z220","2019-07-12 00:00:00","589.000","262.000","0.400","23.300","0.990","947.300","-99.000","0.000","-99.000","-99.000","-99.000","31.000","","23.200",""
"C0R220","2019-07-12 00:00:00","23.000","63.000","1.100","24.900","1.000","1009.900","-99.000","119.000","-99.000","-99.000","-99.000","30.100","","24.600",""
"C0A870","2019-07-12 00:00:00","685.000","270.000","3.100","23.000","0.910","933.800","-99.000","0.500","-99.000","-99.000","-99.000","29.000","","22.700",""
"C0V670","2019-07-12 00:00:00","20.000","102.000","1.100","27.100","0.840","1009.900","-99.000","76.000","-99.000","-99.000","-99.000","30.500","","24.500",""
"C0G770","2019-07-12 00:00:00","15.000","196.000","2.100","27.600","0.910","1007.300","-99.000","6.000","-99.000","-99.000","-99.000","33.100","","26.600",""
"C0C540","2019-07-12 00:00:00","46.000","0.000","0.000","27.000","0.890","1005.100","-99.000","0.000","-99.000","-99.000","-99.000","32.800","","25.800",""
"C0F9O0","2019-07-12 00:00:00","175.000","0.000","0.000","27.300","1.000","991.400","-99.000","8.500","-99.000","-99.000","-99.000","31.700","","26.000",""
"C0Z230","2019-07-12 00:00:00","31.000","256.000","1.600","27.100","0.800","1008.100","-99.000","12.500","-99.000","-99.000","-99.000","31.100","","26.700",""
"C0U900","2019-07-12 00:00:00","63.000","288.000","0.600","25.900","0.980","1004.500","-99.000","16.500","-99.000","-99.000","-99.000","33.400","","25.600",""
"C0X200","2019-07-12 00:00:00","61.000","74.000","0.700","24.900","1.000","1005.300","-99.000","11.000","-99.000","-99.000","-99.000","30.100","","24.400",""
"C0G640","2019-07-12 00:00:00","17.000","173.000","2.000","27.500","0.840","1011.200","-99.000","8.500","-99.000","-99.000","-99.000","32.000","","26.100",""
"C0Z080","2019-07-12 00:00:00","298.000","0.000","0.000","23.900","0.950","978.300","-99.000","0.000","-99.000","-99.000","-99.000","35.200","","23.900",""
"C0U770","2019-07-12 00:00:00","5.000","343.000","3.300","25.300","0.880","1008.300","-99.000","6.500","-99.000","-99.000","-99.000","31.100","","25.300",""
"C0Z210","2019-07-12 00:00:00","126.000","0.000","0.100","25.200","0.990","998.000","-99.000","0.000","-99.000","-99.000","-99.000","33.300","","25.000",""
"C0V690","2019-07-12 00:00:00","30.000","46.000","1.700","26.500","0.880","1009.400","-99.000","58.500","-99.000","-99.000","-99.000","30.100","","23.900",""
"C0M690","2019-07-12 00:00:00","33.000","188.000","1.300","26.800","0.860","1007.200","-99.000","3.500","-99.000","-99.000","-99.000","31.900","","25.300",""
"C0F970","2019-07-12 00:00:00","145.000","120.000","0.600","26.300","0.840","994.100","-99.000","4.500","-99.000","-99.000","-99.000","30.800","","25.500",""
